sl_no,Well_code,Lat_DD,Long_DD,Altitude_of_WT(m),Depth_Of_Well(m),Jun_Sept_WL_From_WTL,Oct_Dec_WL_From_WTL,Jan_Mar_WL_From_WTL,April_May_WL_From_WTL,Jun_Sept_Depth_WL_From_RFL,Oct_Dec_Depth_WL_From_RFL,Jan_March_Depth_WL_From_RFL,April_May_Depth_WL_From_RFL,well_pic,month_plot
1,JADW01,19.7025,76.97388889,507,6.4,0,0.25,3,6.4,507,506.75,504,500.6,https://github.com/UdayKumar0711/wells/blob/main/JADW35.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW01_PLOT.png?raw=true
2,JADW04,19.70805556,76.95111111,495,9.1,0.8,1.2,4,7,494.2,493.8,491,488,https://github.com/UdayKumar0711/wells/blob/main/JADW04.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW04_PLOT.png?raw=true
3,JADW05,19.7075,76.95055556,492,4,1,0.35,4,4,491,491.65,488,488,https://github.com/UdayKumar0711/wells/blob/main/JADW05.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW05_PLOT.png?raw=true
4,JADW08,19.70194444,76.95944444,491,7.9,2.3,2.8,4,7.7,488.7,488.2,487,483.3,https://github.com/UdayKumar0711/wells/blob/main/JADW08.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW08_PLOT.png?raw=true
5,JADW12,19.69916667,76.9575,487,5,2.5,3.3,5,5,484.5,483.7,482,482,https://github.com/UdayKumar0711/wells/blob/main/JADW12.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW12_PLOT.png?raw=true
6,JADW13,19.69416667,76.95833333,482,6.9,0.8,1.7,3,6.9,481.2,480.3,479,475.1,https://github.com/UdayKumar0711/wells/blob/main/JADW13.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW13_PLOT.png?raw=true
7,JADW16,19.6975,76.95416667,475,8.73,0.8,1.7,3,5,474.2,473.3,472,470,https://github.com/UdayKumar0711/wells/blob/main/JADW16.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW16_PLOT.png?raw=true
8,JADW17,19.70083333,76.95611111,481,5.3,1.5,2.1,3,5.3,479.5,478.9,478,475.7,https://github.com/UdayKumar0711/wells/blob/main/JADW17.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW17_PLOT.png?raw=true
9,JADW22,19.71138889,76.95444444,523,5.6,1.8,3.12,4,4.5,521.2,519.88,519,518.5,https://github.com/UdayKumar0711/wells/blob/main/JADW22.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW22_PLOT.png?raw=true
10,JADW30,19.70472222,76.94972222,487,14.87,0,1.95,12,14.87,487,485.05,475,472.13,https://github.com/UdayKumar0711/wells/blob/main/JADW30.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW30_PLOT.png?raw=true
11,JADW34,19.70194444,76.95305556,481,4.8,0.5,0.9,4.8,4.8,480.5,480.1,476.2,476.2,https://github.com/UdayKumar0711/wells/blob/main/JADW34.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW34_PLOT.png?raw=true
12,JADW36,19.70194444,76.95194444,485,6.2,2.5,4.05,5.5,6.2,482.5,480.95,479.5,478.8,https://github.com/UdayKumar0711/wells/blob/main/JADW36.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW36_PLOT.png?raw=true
13,JADW38,19.69138889,76.95722222,468,7.05,1,1.52,3,7.05,467,466.48,465,460.95,https://github.com/UdayKumar0711/wells/blob/main/JADW38.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW38_PLOT.png?raw=true
15,JADW44,19.68916667,76.95083333,469,4.9,1,1.2,2.5,4,468,467.8,466.5,465,https://github.com/UdayKumar0711/wells/blob/main/JADW44.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW44_PLOT.png?raw=true
16,JADW47,19.68888889,76.94805556,472,5,0.5,1.1,4.5,5,471.5,470.9,467.5,467,https://github.com/UdayKumar0711/wells/blob/main/JADW47.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW47_PLOT.png?raw=true
17,JADW52,19.70472222,76.94805556,491,8.3,1,2.4,5,8.3,490,488.6,486,482.7,https://github.com/UdayKumar0711/wells/blob/main/JADW52.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW52_PLOT.png?raw=true
18,JADW55,19.70583333,76.94416667,497,7.5,2,4,6,7.5,495,493,491,489.5,https://github.com/UdayKumar0711/wells/blob/main/JADW55.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW55_PLOT.png?raw=true
19,JADW59,19.69,76.94444444,477,11,1,1.9,6,11,476,475.1,471,466,https://github.com/UdayKumar0711/wells/blob/main/JADW59.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW59_PLOT.png?raw=true
20,JADW62,19.69222222,76.94,486,8.3,2,4.6,6,8.3,484,481.4,480,477.7,https://github.com/UdayKumar0711/wells/blob/main/JADW62.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW62_PLOT.png?raw=true
21,JADW64,19.69333333,76.93972222,490,8.1,2,2.6,5,8.1,488,487.4,485,481.9,https://github.com/UdayKumar0711/wells/blob/main/JADW64.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW64_PLOT.png?raw=true
22,JADW66,19.70861111,76.93611111,523,7.9,1,1.7,5,7.9,522,521.3,518,515.1,https://github.com/UdayKumar0711/wells/blob/main/JADW66.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW66_PLOT.png?raw=true
23,JADW70,19.68694444,76.93722222,497,3,1,1.6,3,3,496,495.4,494,494,https://github.com/UdayKumar0711/wells/blob/main/JADW70.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW70_PLOT.png?raw=true
24,JADW73,19.70722222,76.93388889,527,11.4,1,1.8,3,9,526,525.2,524,518,https://github.com/UdayKumar0711/wells/blob/main/JADW73.jpg?raw=true,https://github.com/UdayKumar0711/wells/blob/main/JADW73_PLOT.png?raw=true
